"","季度","縣市","地區","品項定位","款式","銷售總金額"
"249","第二季","台北市","直轄市","特定性別","針棒",7512.75
"250","第二季","台南市","直轄市","中性","一般款",7317.975
"251","第二季","台南市","直轄市","中性","自動扣",4049.85
"252","第二季","台南市","直轄市","中性","針棒",5850.6
"253","第二季","台南市","直轄市","特定性別","一般款",5363.4
"254","第二季","台南市","直轄市","特定性別","自動扣",4748.1
"255","第二季","台南市","直轄市","特定性別","針棒",6956.25
"256","第二季","台東縣","一般縣市","中性","一般款",417.9
"257","第二季","台東縣","一般縣市","中性","自動扣",558.6
"258","第二季","台東縣","一般縣市","特定性別","一般款",697.725
"259","第二季","台東縣","一般縣市","特定性別","自動扣",279.3
"260","第二季","台東縣","一般縣市","特定性別","針棒",278.25
"261","第二季","嘉義縣","一般縣市","中性","一般款",1184.925
"262","第二季","嘉義縣","一般縣市","中性","自動扣",558.6
"263","第二季","嘉義縣","一般縣市","中性","針棒",1044.75
"264","第二季","嘉義縣","一般縣市","特定性別","一般款",974.4
"265","第二季","嘉義縣","一般縣市","特定性別","自動扣",558.6
"266","第二季","嘉義縣","一般縣市","特定性別","針棒",1947.75
"267","第二季","基隆市","一般縣市","中性","一般款",348.075
"268","第二季","基隆市","一般縣市","中性","自動扣",837.9
"269","第二季","基隆市","一般縣市","中性","針棒",626.85
"270","第二季","基隆市","一般縣市","特定性別","一般款",905.1
"271","第二季","基隆市","一般縣市","特定性別","自動扣",558.6
"272","第二季","基隆市","一般縣市","特定性別","針棒",417.375
"273","第二季","宜蘭縣","一般縣市","中性","一般款",1114.575
"274","第二季","宜蘭縣","一般縣市","中性","自動扣",1117.2
"275","第二季","宜蘭縣","一般縣市","中性","針棒",1880.55
"276","第二季","宜蘭縣","一般縣市","特定性別","一般款",766.5
"277","第二季","宜蘭縣","一般縣市","特定性別","自動扣",558.6
"278","第二季","宜蘭縣","一般縣市","特定性別","針棒",1947.75
"279","第二季","屏東縣","一般縣市","中性","一般款",1184.925
"280","第二季","屏東縣","一般縣市","中性","自動扣",907.725
"281","第二季","屏東縣","一般縣市","中性","針棒",2298.45
"282","第二季","屏東縣","一般縣市","特定性別","一般款",1391.775
"283","第二季","屏東縣","一般縣市","特定性別","自動扣",1396.5
"284","第二季","屏東縣","一般縣市","特定性別","針棒",1669.5
"285","第二季","彰化縣","一般縣市","中性","一般款",2439.15
"286","第二季","彰化縣","一般縣市","中性","自動扣",2164.575
"287","第二季","彰化縣","一般縣市","中性","針棒",3343.2
"288","第二季","彰化縣","一般縣市","特定性別","一般款",3133.725
"289","第二季","彰化縣","一般縣市","特定性別","自動扣",1675.8
"290","第二季","彰化縣","一般縣市","特定性別","針棒",3060.75
"291","第二季","新北市","直轄市","中性","一般款",10104.675
"292","第二季","新北市","直轄市","中性","自動扣",5725.65
"293","第二季","新北市","直轄市","中性","針棒",11701.2
"294","第二季","新北市","直轄市","特定性別","一般款",7591.5
"295","第二季","新北市","直轄市","特定性別","自動扣",4189.5
"296","第二季","新北市","直轄市","特定性別","針棒",10851.75
"297","第二季","新竹市","一般縣市","中性","一般款",2717.925
"298","第二季","新竹市","一般縣市","中性","自動扣",2164.575
"299","第二季","新竹市","一般縣市","中性","針棒",1880.55
"300","第二季","新竹市","一般縣市","特定性別","一般款",2437.575
"301","第二季","新竹市","一般縣市","特定性別","自動扣",2234.4
"302","第二季","新竹市","一般縣市","特定性別","針棒",1947.75
"303","第二季","新竹縣","一般縣市","中性","一般款",3136.875
"304","第二季","新竹縣","一般縣市","中性","自動扣",2443.875
"305","第二季","新竹縣","一般縣市","中性","針棒",2507.4
"306","第二季","新竹縣","一般縣市","特定性別","一般款",2228.625
"307","第二季","新竹縣","一般縣市","特定性別","自動扣",1955.1
"308","第二季","新竹縣","一般縣市","特定性別","針棒",2643.375
"309","第二季","桃園市","直轄市","中性","一般款",8852.55
"310","第二季","桃園市","直轄市","中性","自動扣",6563.55
"311","第二季","桃園市","直轄市","中性","針棒",8358
"312","第二季","桃園市","直轄市","特定性別","一般款",4943.925
"313","第二季","桃園市","直轄市","特定性別","自動扣",5027.4
"314","第二季","桃園市","直轄市","特定性別","針棒",8486.625
"315","第二季","澎湖縣","一般縣市","中性","自動扣",279.3
"316","第二季","澎湖縣","一般縣市","中性","針棒",208.95
"317","第二季","澎湖縣","一般縣市","特定性別","一般款",697.725
"318","第二季","澎湖縣","一般縣市","特定性別","自動扣",558.6
"319","第二季","澎湖縣","一般縣市","特定性別","針棒",278.25
"320","第二季","花蓮縣","一般縣市","中性","一般款",1254.75
"321","第二季","花蓮縣","一般縣市","中性","自動扣",628.425
"322","第二季","花蓮縣","一般縣市","中性","針棒",626.85
"323","第二季","花蓮縣","一般縣市","特定性別","一般款",1114.05
"324","第二季","花蓮縣","一般縣市","特定性別","自動扣",1955.1
"325","第二季","花蓮縣","一般縣市","特定性別","針棒",973.875
"326","第二季","苗栗縣","一般縣市","中性","一般款",2230.2
"327","第二季","苗栗縣","一般縣市","中性","自動扣",2024.925
"328","第二季","苗栗縣","一般縣市","中性","針棒",2089.5
"329","第二季","苗栗縣","一般縣市","特定性別","一般款",1462.125
"330","第二季","苗栗縣","一般縣市","特定性別","自動扣",1117.2
"331","第二季","苗栗縣","一般縣市","特定性別","針棒",1669.5
"332","第二季","金門縣","一般縣市","中性","一般款",557.55
"333","第二季","金門縣","一般縣市","中性","針棒",208.95
"334","第二季","金門縣","一般縣市","特定性別","一般款",139.125
"335","第二季","金門縣","一般縣市","特定性別","針棒",278.25
"336","第二季","雲林縣","一般縣市","中性","一般款",2231.25
"337","第二季","雲林縣","一般縣市","中性","自動扣",1187.025
"338","第二季","雲林縣","一般縣市","中性","針棒",1253.7
"339","第二季","雲林縣","一般縣市","特定性別","一般款",1463.7
"340","第二季","雲林縣","一般縣市","特定性別","自動扣",1396.5
"341","第二季","雲林縣","一般縣市","特定性別","針棒",3478.125
"342","第二季","高雄市","直轄市","中性","一般款",9969.75
"343","第二季","高雄市","直轄市","中性","自動扣",5516.175
"344","第二季","高雄市","直轄市","中性","針棒",7522.2
"345","第二季","高雄市","直轄市","特定性別","一般款",4874.1
"346","第二季","高雄市","直轄市","特定性別","自動扣",6144.6
"347","第二季","高雄市","直轄市","特定性別","針棒",9182.25
"348","第四季","南投縣","一般縣市","中性","一般款",1043.7
"349","第四季","南投縣","一般縣市","中性","自動扣",2304.225
"350","第四季","南投縣","一般縣市","中性","針棒",2089.5
"351","第四季","南投縣","一般縣市","特定性別","一般款",1741.95
"352","第四季","南投縣","一般縣市","特定性別","自動扣",279.3
"353","第四季","南投縣","一般縣市","特定性別","針棒",973.875
"354","第四季","台中市","直轄市","中性","一般款",14838.6
"355","第四季","台中市","直轄市","中性","自動扣",8588.475
"356","第四季","台中市","直轄市","中性","針棒",13790.7
"357","第四季","台中市","直轄市","特定性別","一般款",10792.425
"358","第四季","台中市","直轄市","特定性別","自動扣",6982.5
"359","第四季","台中市","直轄市","特定性別","針棒",10851.75
"360","第四季","台北市","直轄市","中性","一般款",8915.025
"361","第四季","台北市","直轄市","中性","自動扣",2513.7
"362","第四季","台北市","直轄市","中性","針棒",7731.15
"363","第四季","台北市","直轄市","特定性別","一般款",5711.475
"364","第四季","台北市","直轄市","特定性別","自動扣",5586
"365","第四季","台北市","直轄市","特定性別","針棒",6538.875
"366","第四季","台南市","直轄市","中性","一般款",7731.675
"367","第四季","台南市","直轄市","中性","自動扣",4817.925
"368","第四季","台南市","直轄市","中性","針棒",8358
"369","第四季","台南市","直轄市","特定性別","一般款",4737.6
"370","第四季","台南市","直轄市","特定性別","自動扣",4468.8
"371","第四季","台南市","直轄市","特定性別","針棒",6956.25
"372","第四季","台東縣","一般縣市","中性","一般款",977.025
"373","第四季","台東縣","一般縣市","中性","針棒",835.8
"374","第四季","台東縣","一般縣市","特定性別","一般款",765.45
"375","第四季","台東縣","一般縣市","特定性別","自動扣",279.3
"376","第四季","台東縣","一般縣市","特定性別","針棒",834.75
"377","第四季","嘉義縣","一般縣市","中性","一般款",905.625
"378","第四季","嘉義縣","一般縣市","中性","自動扣",1396.5
"379","第四季","嘉義縣","一般縣市","中性","針棒",1880.55
"380","第四季","嘉義縣","一般縣市","特定性別","一般款",1463.175
"381","第四季","嘉義縣","一般縣市","特定性別","自動扣",1117.2
"382","第四季","嘉義縣","一般縣市","特定性別","針棒",1530.375
"383","第四季","基隆市","一般縣市","中性","一般款",1045.8
"384","第四季","基隆市","一般縣市","中性","自動扣",279.3
"385","第四季","基隆市","一般縣市","中性","針棒",1253.7
"386","第四季","基隆市","一般縣市","特定性別","一般款",556.5
"387","第四季","基隆市","一般縣市","特定性別","針棒",417.375
"388","第四季","宜蘭縣","一般縣市","中性","一般款",1880.55
"389","第四季","宜蘭縣","一般縣市","中性","自動扣",628.425
"390","第四季","宜蘭縣","一般縣市","中性","針棒",3761.1
"391","第四季","宜蘭縣","一般縣市","特定性別","一般款",626.325
"392","第四季","宜蘭縣","一般縣市","特定性別","自動扣",558.6
"393","第四季","宜蘭縣","一般縣市","特定性別","針棒",2226
"394","第四季","屏東縣","一般縣市","中性","一般款",3413.55
"395","第四季","屏東縣","一般縣市","中性","自動扣",2583.525
"396","第四季","屏東縣","一般縣市","中性","針棒",2925.3
"397","第四季","屏東縣","一般縣市","特定性別","一般款",1739.85
"398","第四季","屏東縣","一般縣市","特定性別","自動扣",1117.2
"399","第四季","屏東縣","一般縣市","特定性別","針棒",2086.875
"400","第四季","彰化縣","一般縣市","中性","一般款",3411.975
"401","第四季","彰化縣","一般縣市","中性","自動扣",1047.375
"402","第四季","彰化縣","一般縣市","中性","針棒",2298.45
"403","第四季","彰化縣","一般縣市","特定性別","一般款",3413.55
"404","第四季","彰化縣","一般縣市","特定性別","自動扣",837.9
"405","第四季","彰化縣","一般縣市","特定性別","針棒",3060.75
"406","第四季","新北市","直轄市","中性","一般款",11565.225
"407","第四季","新北市","直轄市","中性","自動扣",6773.025
"408","第四季","新北市","直轄市","中性","針棒",13163.85
"409","第四季","新北市","直轄市","特定性別","一般款",7587.825
"410","第四季","新北市","直轄市","特定性別","自動扣",6144.6
"411","第四季","新北市","直轄市","特定性別","針棒",9321.375
"412","第四季","新竹市","一般縣市","中性","一般款",3552.15
"413","第四季","新竹市","一般縣市","中性","自動扣",1536.15
"414","第四季","新竹市","一般縣市","中性","針棒",2925.3
"415","第四季","新竹市","一般縣市","特定性別","一般款",2089.5
"416","第四季","新竹市","一般縣市","特定性別","自動扣",2513.7
"417","第四季","新竹市","一般縣市","特定性別","針棒",2226
"418","第四季","新竹縣","一般縣市","中性","一般款",2088.45
"419","第四季","新竹縣","一般縣市","中性","自動扣",1466.325
"420","第四季","新竹縣","一般縣市","中性","針棒",2298.45
"421","第四季","新竹縣","一般縣市","特定性別","一般款",1044.225
"422","第四季","新竹縣","一般縣市","特定性別","自動扣",1396.5
"423","第四季","新竹縣","一般縣市","特定性別","針棒",2504.25
"424","第四季","桃園市","直轄市","中性","一般款",9058.35
"425","第四季","桃園市","直轄市","中性","自動扣",6633.375
"426","第四季","桃園市","直轄市","中性","針棒",7104.3
"427","第四季","桃園市","直轄市","特定性別","一般款",6964.125
"428","第四季","桃園市","直轄市","特定性別","自動扣",6144.6
"429","第四季","桃園市","直轄市","特定性別","針棒",8208.375
"430","第四季","澎湖縣","一般縣市","中性","一般款",836.325
"431","第四季","澎湖縣","一般縣市","中性","自動扣",279.3
